Time	Clk	PWM_out
25000	1	0
35000	1	1
45000	1	1
55000	1	1
65000	1	1
75000	1	1
85000	1	1
95000	1	1
105000	1	1
115000	1	1
125000	1	1
135000	1	1
145000	1	1
155000	1	1
165000	1	1
175000	1	1
185000	1	1
195000	1	1
205000	1	1
215000	1	1
225000	1	1
235000	1	1
245000	1	1
255000	1	1
265000	1	1
275000	1	1
285000	1	1
295000	1	1
305000	1	1
315000	1	1
325000	1	1
335000	1	1
345000	1	1
355000	1	1
365000	1	1
375000	1	1
385000	1	1
395000	1	1
405000	1	1
415000	1	1
425000	1	1
435000	1	1
445000	1	1
455000	1	1
465000	1	1
475000	1	1
485000	1	1
495000	1	1
505000	1	1
515000	1	1
525000	1	1
535000	1	1
545000	1	1
555000	1	1
565000	1	1
575000	1	1
585000	1	1
595000	1	1
605000	1	1
615000	1	1
625000	1	1
635000	1	1
645000	1	1
655000	1	1
665000	1	1
675000	1	0
685000	1	0
695000	1	0
705000	1	0
715000	1	0
725000	1	0
735000	1	0
745000	1	0
755000	1	0
765000	1	0
775000	1	0
785000	1	0
795000	1	0
805000	1	0
815000	1	0
825000	1	0
835000	1	0
845000	1	0
855000	1	0
865000	1	0
875000	1	0
885000	1	0
895000	1	0
905000	1	0
915000	1	0
925000	1	0
935000	1	0
945000	1	0
955000	1	0
965000	1	0
975000	1	0
985000	1	0
995000	1	0
1005000	1	0
1015000	1	0
1025000	1	0
1035000	1	0
1045000	1	0
1055000	1	0
1065000	1	0
1075000	1	0
1085000	1	0
1095000	1	0
1105000	1	0
1115000	1	0
1125000	1	0
1135000	1	0
1145000	1	0
1155000	1	0
1165000	1	0
1175000	1	0
1185000	1	0
1195000	1	0
1205000	1	0
1215000	1	0
1225000	1	0
1235000	1	0
1245000	1	0
1255000	1	0
1265000	1	0
1275000	1	0
1285000	1	0
1295000	1	0
1305000	1	0
1315000	1	0
1325000	1	0
1335000	1	0
1345000	1	0
1355000	1	0
1365000	1	0
1375000	1	0
1385000	1	0
1395000	1	0
1405000	1	0
1415000	1	0
1425000	1	0
1435000	1	0
1445000	1	0
1455000	1	0
1465000	1	0
1475000	1	0
1485000	1	0
1495000	1	0
1505000	1	0
1515000	1	0
1525000	1	0
1535000	1	0
1545000	1	0
1555000	1	0
1565000	1	0
1575000	1	0
1585000	1	0
1595000	1	0
1605000	1	0
1615000	1	0
1625000	1	0
1635000	1	0
1645000	1	0
1655000	1	0
1665000	1	0
1675000	1	0
1685000	1	0
1695000	1	0
1705000	1	0
1715000	1	0
1725000	1	0
1735000	1	0
1745000	1	0
1755000	1	0
1765000	1	0
1775000	1	0
1785000	1	0
1795000	1	0
1805000	1	0
1815000	1	0
1825000	1	0
1835000	1	0
1845000	1	0
1855000	1	0
1865000	1	0
1875000	1	0
1885000	1	0
1895000	1	0
1905000	1	0
1915000	1	0
1925000	1	0
1935000	1	0
1945000	1	0
1955000	1	0
1965000	1	0
1975000	1	0
1985000	1	0
1995000	1	0
2005000	1	0
2015000	1	0
2025000	1	0
2035000	1	0
2045000	1	0
2055000	1	0
2065000	1	0
2075000	1	0
2085000	1	0
2095000	1	0
2105000	1	0
2115000	1	0
2125000	1	0
2135000	1	0
2145000	1	0
2155000	1	0
2165000	1	0
2175000	1	0
2185000	1	0
2195000	1	0
2205000	1	0
2215000	1	0
2225000	1	0
2235000	1	0
2245000	1	0
2255000	1	0
2265000	1	0
2275000	1	0
2285000	1	0
2295000	1	0
2305000	1	0
2315000	1	0
2325000	1	0
2335000	1	0
2345000	1	0
2355000	1	0
2365000	1	0
2375000	1	0
2385000	1	0
2395000	1	0
2405000	1	0
2415000	1	0
2425000	1	0
2435000	1	0
2445000	1	0
2455000	1	0
2465000	1	0
2475000	1	0
2485000	1	0
2495000	1	0
2505000	1	0
2515000	1	0
2525000	1	0
2535000	1	0
2545000	1	0
2555000	1	0
2565000	1	0
2575000	1	0
2585000	1	0
2595000	1	1
2605000	1	1
2615000	1	1
2625000	1	1
2635000	1	1
2645000	1	1
2655000	1	1
2665000	1	1
2675000	1	1
2685000	1	1
2695000	1	1
2705000	1	1
2715000	1	1
2725000	1	1
2735000	1	1
2745000	1	1
2755000	1	1
2765000	1	1
2775000	1	1
2785000	1	1
2795000	1	1
2805000	1	1
2815000	1	1
2825000	1	1
2835000	1	1
2845000	1	1
2855000	1	1
2865000	1	1
2875000	1	1
2885000	1	1
2895000	1	1
2905000	1	1
2915000	1	1
2925000	1	1
2935000	1	1
2945000	1	1
2955000	1	1
2965000	1	1
2975000	1	1
2985000	1	1
2995000	1	1
3005000	1	1
3015000	1	1
3025000	1	1
3035000	1	1
3045000	1	1
3055000	1	1
3065000	1	1
3075000	1	1
3085000	1	1
3095000	1	1
3105000	1	1
3115000	1	1
3125000	1	1
3135000	1	1
3145000	1	1
3155000	1	1
3165000	1	1
3175000	1	1
3185000	1	1
3195000	1	1
3205000	1	1
3215000	1	1
3225000	1	1
3235000	1	0
3245000	1	0
3255000	1	0
3265000	1	0
3275000	1	0
3285000	1	0
3295000	1	0
3305000	1	0
3315000	1	0
3325000	1	0
3335000	1	0
3345000	1	0
3355000	1	0
3365000	1	0
3375000	1	0
3385000	1	0
3395000	1	0
3405000	1	0
3415000	1	0
3425000	1	0
3435000	1	0
3445000	1	0
3455000	1	0
3465000	1	0
3475000	1	0
3485000	1	0
3495000	1	0
3505000	1	0
3515000	1	0
3525000	1	0
3535000	1	0
3545000	1	0
3555000	1	0
3565000	1	0
3575000	1	0
3585000	1	0
3595000	1	0
3605000	1	0
3615000	1	0
3625000	1	0
3635000	1	0
3645000	1	0
3655000	1	0
3665000	1	0
3675000	1	0
3685000	1	0
3695000	1	0
3705000	1	0
3715000	1	0
3725000	1	0
3735000	1	0
3745000	1	0
3755000	1	0
3765000	1	0
3775000	1	0
3785000	1	0
3795000	1	0
3805000	1	0
3815000	1	0
3825000	1	0
3835000	1	0
3845000	1	0
3855000	1	0
3865000	1	0
3875000	1	0
3885000	1	0
3895000	1	0
3905000	1	0
3915000	1	0
3925000	1	0
3935000	1	0
3945000	1	0
3955000	1	0
3965000	1	0
3975000	1	0
3985000	1	0
3995000	1	0
4005000	1	0
4015000	1	0
4025000	1	0
4035000	1	0
4045000	1	0
4055000	1	0
4065000	1	0
4075000	1	0
4085000	1	0
4095000	1	0
4105000	1	0
4115000	1	0
4125000	1	0
4135000	1	0
4145000	1	0
4155000	1	0
4165000	1	0
4175000	1	0
4185000	1	0
4195000	1	0
4205000	1	0
4215000	1	0
4225000	1	0
4235000	1	0
4245000	1	0
4255000	1	0
4265000	1	0
4275000	1	0
4285000	1	0
4295000	1	0
4305000	1	0
4315000	1	0
4325000	1	0
4335000	1	0
4345000	1	0
4355000	1	0
4365000	1	0
4375000	1	0
4385000	1	0
4395000	1	0
4405000	1	0
4415000	1	0
4425000	1	0
4435000	1	0
4445000	1	0
4455000	1	0
4465000	1	0
4475000	1	0
4485000	1	0
4495000	1	0
